Date,COMMUNITY,ZIP,Unemployment rate (%)
01/01/2023 12:00:00 AM,Campo,91906,5.79
12/01/2022 12:00:00 AM,Campo,91906,4.99
11/01/2022 12:00:00 AM,Campo,91906,5.52
10/01/2022 12:00:00 AM,Campo,91906,5.38
09/01/2022 12:00:00 AM,Campo,91906,5.27
08/01/2022 12:00:00 AM,Campo,91906,5.65
07/01/2022 12:00:00 AM,Campo,91906,5.47
06/01/2022 12:00:00 AM,Campo,91906,5.48
05/01/2022 12:00:00 AM,Campo,91906,5.03
04/01/2022 12:00:00 AM,Campo,91906,5.67
03/01/2022 12:00:00 AM,Campo,91906,6.21
02/01/2022 12:00:00 AM,Campo,91906,6.51
01/01/2022 12:00:00 AM,Campo,91906,7.08
12/01/2021 12:00:00 AM,Campo,91906,6.62
11/01/2021 12:00:00 AM,Campo,91906,6.88
10/01/2021 12:00:00 AM,Campo,91906,7.5
09/01/2021 12:00:00 AM,Campo,91906,7.92
08/01/2021 12:00:00 AM,Campo,91906,8.82
07/01/2021 12:00:00 AM,Campo,91906,9.26
03/01/2020 12:00:00 AM,Imperial Beach,91932,6.06
02/01/2020 12:00:00 AM,Imperial Beach,91932,4.41
02/01/2023 12:00:00 AM,Dulzura,91917,4.69
01/01/2023 12:00:00 AM,Dulzura,91917,4.8
12/01/2022 12:00:00 AM,Dulzura,91917,4
11/01/2022 12:00:00 AM,Dulzura,91917,4.46
10/01/2022 12:00:00 AM,Dulzura,91917,4.36
09/01/2022 12:00:00 AM,Dulzura,91917,4.12
08/01/2022 12:00:00 AM,Dulzura,91917,4.52
07/01/2022 12:00:00 AM,Dulzura,91917,4.37
06/01/2022 12:00:00 AM,Dulzura,91917,4.63
05/01/2022 12:00:00 AM,Dulzura,91917,4.03
04/01/2022 12:00:00 AM,Dulzura,91917,4.51
03/01/2022 12:00:00 AM,Dulzura,91917,4.91
02/01/2022 12:00:00 AM,Dulzura,91917,5.18
01/01/2022 12:00:00 AM,Dulzura,91917,5.83
12/01/2021 12:00:00 AM,Dulzura,91917,5.35
11/01/2021 12:00:00 AM,Dulzura,91917,5.54
10/01/2021 12:00:00 AM,Dulzura,91917,6.03
09/01/2021 12:00:00 AM,Dulzura,91917,6.41
08/01/2021 12:00:00 AM,Dulzura,91917,7.46
07/01/2021 12:00:00 AM,Dulzura,91917,7.83
06/01/2021 12:00:00 AM,Dulzura,91917,8.49
05/01/2021 12:00:00 AM,Dulzura,91917,7.85
04/01/2021 12:00:00 AM,Dulzura,91917,8.51
03/01/2021 12:00:00 AM,Dulzura,91917,8.75
02/01/2021 12:00:00 AM,Dulzura,91917,9.01
01/01/2021 12:00:00 AM,Dulzura,91917,9.57
12/01/2020 12:00:00 AM,Dulzura,91917,9.33
11/01/2020 12:00:00 AM,Dulzura,91917,9.05
10/01/2020 12:00:00 AM,Dulzura,91917,9.34
09/01/2020 12:00:00 AM,Dulzura,91917,10.43
08/01/2020 12:00:00 AM,Dulzura,91917,11.43
07/01/2020 12:00:00 AM,Dulzura,91917,13.44
06/01/2020 12:00:00 AM,Dulzura,91917,14.48
05/01/2020 12:00:00 AM,Dulzura,91917,17.27
04/01/2020 12:00:00 AM,Dulzura,91917,17.33
03/01/2020 12:00:00 AM,Dulzura,91917,6.06
02/01/2020 12:00:00 AM,Dulzura,91917,4.41
02/01/2023 12:00:00 AM,Descanso,91916,2.31
01/01/2023 12:00:00 AM,Descanso,91916,2.42
12/01/2022 12:00:00 AM,Descanso,91916,1.61
11/01/2022 12:00:00 AM,Descanso,91916,2.11
10/01/2022 12:00:00 AM,Descanso,91916,1.86
09/01/2022 12:00:00 AM,Descanso,91916,1.64
08/01/2022 12:00:00 AM,Descanso,91916,1.75
07/01/2022 12:00:00 AM,Descanso,91916,1.6
06/01/2022 12:00:00 AM,Descanso,91916,1.93
05/01/2022 12:00:00 AM,Descanso,91916,1.61
04/01/2022 12:00:00 AM,Descanso,91916,2.33
03/01/2022 12:00:00 AM,Descanso,91916,2.97
02/01/2022 12:00:00 AM,Descanso,91916,3.3
01/01/2022 12:00:00 AM,Descanso,91916,3.96
12/01/2021 12:00:00 AM,Descanso,91916,3.59
11/01/2021 12:00:00 AM,Descanso,91916,3.67
10/01/2021 12:00:00 AM,Descanso,91916,3.98
09/01/2021 12:00:00 AM,Descanso,91916,4.28
08/01/2021 12:00:00 AM,Descanso,91916,5.04
07/01/2021 12:00:00 AM,Descanso,91916,5.45
06/01/2021 12:00:00 AM,Descanso,91916,6.33
05/01/2021 12:00:00 AM,Descanso,91916,5.84
04/01/2021 12:00:00 AM,Descanso,91916,6.63
03/01/2021 12:00:00 AM,Descanso,91916,7.26
02/01/2021 12:00:00 AM,Descanso,91916,7.67
01/01/2021 12:00:00 AM,Descanso,91916,8.36
12/01/2020 12:00:00 AM,Descanso,91916,8.05
11/01/2020 12:00:00 AM,Descanso,91916,7.5
10/01/2020 12:00:00 AM,Descanso,91916,7.74
09/01/2020 12:00:00 AM,Descanso,91916,8.83
08/01/2020 12:00:00 AM,Descanso,91916,9.9
07/01/2020 12:00:00 AM,Descanso,91916,11.74
